[        Time]   Unix Time           req/s         hits/s     misses/sec  % hit -  TotKeys %Cache  %Hits
--------------------------------------------------------------------------------------------------------
[ 02-28 01:34]  1298885640          0.0333         0.0167         0.0167   0.50 - 1.00e+00  10.00   0.00
[ 02-28 01:52]  1298886720          0.0167         0.0000         0.0167   0.00 - 2.00e+00  20.00  33.33
[ 02-28 02:09]  1298887740          0.0167         0.0000         0.0167   0.00 - 3.00e+00  30.00  25.00
[ 02-28 02:26]  1298888760          0.0167         0.0000         0.0167   0.00 - 4.00e+00  40.00  20.00
[ 02-28 02:45]  1298889900          0.0167         0.0000         0.0167   0.00 - 5.00e+00  50.00  16.67
[ 02-28 03:01]  1298890860          0.0167         0.0000         0.0167   0.00 - 6.00e+00  60.00  14.29
[ 02-28 03:20]  1298892000          0.0167         0.0000         0.0167   0.00 - 7.00e+00  70.00  12.50
[ 02-28 03:38]  1298893080          0.0167         0.0000         0.0167   0.00 - 8.00e+00  80.00  11.11
[ 02-28 03:58]  1298894280          0.0167         0.0000         0.0167   0.00 - 9.00e+00  90.00  10.00
[ 02-28 04:17]  1298895420          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   9.09
[ 02-28 04:35]  1298896500          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   8.33
[ 02-28 04:54]  1298897640          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   7.69
[ 02-28 05:11]  1298898660          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   7.14
[ 02-28 05:30]  1298899800          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   6.67
[ 02-28 05:47]  1298900820          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   6.25
[ 02-28 06:05]  1298901900          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   5.88
[ 02-28 06:21]  1298902860          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   5.56
[ 02-28 06:37]  1298903820          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   5.26
[ 02-28 06:54]  1298904840          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   5.00
[ 02-28 07:11]  1298905860          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   4.76
[ 02-28 07:31]  1298907060          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   4.55
[ 02-28 07:48]  1298908080          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   4.35
[ 02-28 08:06]  1298909160          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   4.17
[ 02-28 08:24]  1298910240          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   4.00
[ 02-28 08:42]  1298911320          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.85
[ 02-28 09:00]  1298912400          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.70
[ 02-28 09:18]  1298913480          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.57
[ 02-28 09:37]  1298914620          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.45
[ 02-28 09:53]  1298915580          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.33
[ 02-28 10:10]  1298916600          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.23
[ 02-28 10:26]  1298917560          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.12
[ 02-28 10:45]  1298918700          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   3.03
[ 02-28 11:03]  1298919780          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.94
[ 02-28 11:22]  1298920920          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.86
[ 02-28 11:41]  1298922060          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.78
[ 02-28 12:00]  1298923200          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.70
[ 02-28 12:19]  1298924340          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.63
[ 02-28 12:35]  1298925300          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.56
[ 02-28 12:52]  1298926320          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.50
[ 02-28 13:09]  1298927340          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.44
